system:index,snow_km2,snow_pct,week_end,week_start,.geo
0,0,0.0,2021-10-08,2021-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.0,2021-10-15,2021-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.20685690625,0.016091855446283828,2021-10-22,2021-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.238668400390625,0.01856654181050205,2021-10-29,2021-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.0,2021-11-05,2021-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.0,2021-11-12,2021-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.0,2021-11-19,2021-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,98.27802615497856,7.64526463777187,2021-11-26,2021-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,279.10833493942926,21.712453604377856,2021-12-03,2021-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,171.14756182537786,13.313946702603285,2021-12-10,2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,610.6312520976257,47.50235328310819,2021-12-17,2021-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,618.7240993517158,48.13191373879964,2021-12-24,2021-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1127.901690629657,87.74196275224232,2021-12-31,2021-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,860.0074282842468,66.90187661394748,2022-01-07,2021-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,550.2614696899354,42.806054622167736,2022-01-14,2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,952.2783835409873,74.07983794383173,2022-01-21,2022-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1236.5506326577972,96.19400383321785,2022-01-28,2022-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1135.323903728462,88.31935309633427,2022-02-04,2022-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1130.1744588950828,87.91876641354204,2022-02-11,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,741.0387418915901,57.64703983440484,2022-02-18,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,854.6582657034777,66.4857534466389,2022-02-25,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,452.2067052637868,35.17815800721003,2022-03-04,2022-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
