week_start,week_end,snow_km2,snow_pct,altitude_class
2016-10-01,2016-10-08,0.0,0.0,1200–1800 m
2016-10-08,2016-10-15,0.0,0.0,1200–1800 m
2016-10-15,2016-10-22,0.0,0.0,1200–1800 m
2016-10-22,2016-10-29,0.0,0.0,1200–1800 m
2016-10-29,2016-11-05,0.0,0.0,1200–1800 m
2016-11-05,2016-11-12,0.0,0.0,1200–1800 m
2016-11-12,2016-11-19,0.0,0.0,1200–1800 m
2016-11-19,2016-11-26,0.0,0.0,1200–1800 m
2016-11-26,2016-12-03,0.0,0.0,1200–1800 m
2016-12-03,2016-12-10,0.0,0.0,1200–1800 m
2016-12-10,2016-12-17,0.0,0.0,1200–1800 m
2016-12-17,2016-12-24,0.0,0.0,1200–1800 m
2016-12-24,2016-12-31,0.0,0.0,1200–1800 m
2016-12-31,2017-01-07,0.0,0.0,1200–1800 m
2017-01-07,2017-01-14,110.15934710698528,4.7511839419672475,1200–1800 m
2017-01-14,2017-01-21,0.0,0.0,1200–1800 m
2017-01-21,2017-01-28,0.0,0.0,1200–1800 m
2017-01-28,2017-02-04,0.0,0.0,1200–1800 m
2017-02-04,2017-02-11,0.0,0.0,1200–1800 m
2017-02-11,2017-02-18,0.0,0.0,1200–1800 m
2017-02-18,2017-02-25,0.0,0.0,1200–1800 m
2017-02-25,2017-03-04,0.0,0.0,1200–1800 m
2017-03-04,2017-03-11,0.0,0.0,1200–1800 m
2017-03-11,2017-03-18,0.0,0.0,1200–1800 m
2017-03-18,2017-03-25,0.0,0.0,1200–1800 m
2017-03-25,2017-04-01,0.0,0.0,1200–1800 m
2017-04-01,2017-04-08,0.61927096875,0.0267092204131711,1200–1800 m
2017-04-08,2017-04-15,0.0,0.0,1200–1800 m
2017-04-15,2017-04-22,0.7048915718137254,0.0304020458071238,1200–1800 m
2017-04-22,2017-04-29,0.0,0.0,1200–1800 m
2017-04-29,2017-05-06,0.0,0.0,1200–1800 m
2017-05-06,2017-05-13,0.0,0.0,1200–1800 m
2017-05-13,2017-05-20,1.5135963885825163,0.0652815675193563,1200–1800 m
2017-05-20,2017-05-27,0.0,0.0,1200–1800 m
2017-05-27,2017-06-03,0.134990653247549,0.0058221607232524,1200–1800 m
2017-06-03,2017-06-10,0.0,0.0,1200–1800 m
2017-06-10,2017-06-17,0.0,0.0,1200–1800 m
2017-06-17,2017-06-24,0.067385906862745,0.0029063610761076,1200–1800 m
2017-06-24,2017-07-01,0.0,0.0,1200–1800 m
2017-07-01,2017-07-08,0.0,0.0,1200–1800 m
2017-07-08,2017-07-15,0.0,0.0,1200–1800 m
2017-07-15,2017-07-22,0.1299909815870098,0.0056065243716172,1200–1800 m
2017-07-22,2017-07-29,0.0,0.0,1200–1800 m
2017-07-29,2017-08-05,0.0,0.0,1200–1800 m
2017-08-05,2017-08-12,0.0,0.0,1200–1800 m
2017-08-12,2017-08-19,0.0,0.0,1200–1800 m
2017-08-19,2017-08-26,0.0,0.0,1200–1800 m
2017-08-26,2017-09-02,0.5478951640216502,0.0236307746327965,1200–1800 m
2017-09-02,2017-09-09,0.0,0.0,1200–1800 m
2017-09-09,2017-09-16,0.0,0.0,1200–1800 m
2017-09-16,2017-09-23,0.0,0.0,1200–1800 m
2017-09-23,2017-09-30,0.0,0.0,1200–1800 m
2017-09-30,2017-10-07,0.0,0.0,1200–1800 m
2017-10-07,2017-10-14,0.0,0.0,1200–1800 m
2017-10-14,2017-10-21,0.0,0.0,1200–1800 m
2017-10-21,2017-10-28,0.0,0.0,1200–1800 m
2017-10-28,2017-11-04,0.0,0.0,1200–1800 m
2017-11-04,2017-11-11,0.0,0.0,1200–1800 m
2017-11-11,2017-11-18,0.0,0.0,1200–1800 m
2017-11-18,2017-11-25,0.0,0.0,1200–1800 m
2017-11-25,2017-12-02,0.205995578125,0.0088846104176092,1200–1800 m
2017-12-02,2017-12-09,406.5420936801273,17.534202207560867,1200–1800 m
2017-12-09,2017-12-16,0.0,0.0,1200–1800 m
2017-12-16,2017-12-23,7.6146564453125,0.3284209136736253,1200–1800 m
2017-12-23,2017-12-30,0.4165625625,0.0179663860557614,1200–1800 m
2017-12-30,2018-01-06,0.0,0.0,1200–1800 m
2018-01-06,2018-01-13,68.18261972435663,2.940723383563706,1200–1800 m
2018-01-13,2018-01-20,32.573112481770835,1.4048816830130704,1200–1800 m
2018-01-20,2018-01-27,164.7862076957108,7.107246043326401,1200–1800 m
2018-01-27,2018-02-03,290.15372403210785,12.514359884363644,1200–1800 m
2018-02-03,2018-02-10,0.0,0.0,1200–1800 m
2018-02-10,2018-02-17,0.0,0.0,1200–1800 m
2018-02-17,2018-02-24,0.0,0.0,1200–1800 m
2018-02-24,2018-03-03,2.68175409375,0.1156643291844816,1200–1800 m
2018-03-03,2018-03-10,0.0,0.0,1200–1800 m
