,Sentinel-2,,,Modis,,,Temperature-Celsius,,,Precipitation-mm,,
week_start,snow_km2 - above 1200,snow_km2 - between 1200 - 1800,snow_km2 - above 1800,snow_km2 - above 1200,snow_km2 - between 1200 - 1800,snow_km2 - above 1800,Temp- 1200,Temp-1200-1800,Temp-1800,precipitation-1200,precipitation-1200-1800,precipitation-1800
01/10/2016,0,0,0,0,0,0,21.55524133,18.92267723,16.90063696,1.509897396,0.905635894,1.445756874
08/10/2016,0,0,0,0.012,0,0,20.75631131,18.13326995,16.06664512,4.338199341,5.189557857,5.453085127
15/10/2016,0,0,0,0,0,0,19.11294656,16.29739278,14.29842438,8.095914794,5.748534774,9.294732547
22/10/2016,0,0,0,0.319,2,0.428,18.58097367,15.52727249,13.27790686,98.32805688,149.9597844,166.8631627
29/10/2016,0,0,0,13.756,9.002,5.097,15.7558068,12.21013624,10.03367962,309.8818154,237.9029424,176.0646099
05/11/2016,0,0,0,0.598,0.357,0.047,15.37382425,12.3621018,10.60984648,6.530988564,7.462474448,6.191659517
12/11/2016,0,0,0,0.938,0.204,0.216,15.41298684,12.74611863,11.12820265,27.45592797,19.23234648,13.55640923
19/11/2016,0,0,0,0.953,0.095,0,12.13423187,8.283599278,6.433315633,0.329386629,0.640266854,0.689458963
26/11/2016,0,0,0,150.354,96.933,80.99,10.11719601,6.281987217,4.303367653,731.9398443,573.5285239,456.8984195
03/12/2016,0,0,0,5.855,100.781,831.774,8.684908536,4.791129933,2.705656114,84.62730673,98.44579916,103.7007392
10/12/2016,0,0,0,142.749,337.897,714.53,7.363884014,3.471221317,1.490034005,723.0654853,588.4501551,516.46744
17/12/2016,0,0,0,109.249,589.757,919.036,5.039172422,0.857592163,-1.706041415,321.1846017,356.2461921,368.2848033
24/12/2016,0,0,0,103.019,686.439,874.752,6.279637652,2.226122016,0.055608784,438.1206194,317.4604087,247.6929533
31/12/2016,0,0,0,96.468,621.182,833.634,5.479696426,1.360671529,-0.886482993,259.2785592,195.101428,156.6945205
07/01/2017,161.5955837,111.7335389,49.86204484,377.093,930.202,866.172,5.455933591,1.126709805,-0.675758864,324.0903835,266.2518804,195.9091634
14/01/2017,0,0,0,10.659,380.059,819.545,7.12235351,3.544963308,1.769992027,113.0254987,127.0826172,121.7022434
21/01/2017,0,0,0,49.852,264.477,736.394,6.418745305,2.638828634,0.710492686,366.8340935,319.3659073,272.6362806
28/01/2017,0,0,0,665.553,"1,378.34",859.017,0.694306844,-4.063885087,-6.099735436,226.2366769,227.8460284,220.9232913
04/02/2017,1.032866249,0,1.032866249,59.795,830.421,884.879,7.27921103,3.391646106,1.200470078,6.737331069,8.299287298,9.256102727
11/02/2017,0,0,0,35.354,422.481,798.951,4.467611593,0.404031982,-2.098480635,349.0437193,350.0802238,344.1523349
18/02/2017,0,0,0,2.061,342.412,743.899,6.594197859,3.213078944,1.230531625,0.857319436,0.601379488,0.745127935
25/02/2017,0,0,0,1.397,187.557,649.199,10.75352181,7.401696461,5.24197095,291.5380457,265.7551242,210.3458999
04/03/2017,0,0,0,0.109,107.299,570.674,10.84177398,7.525414683,5.452611022,46.26284946,44.93012962,53.41954407
