week_start,snow_km2 MODIS,snow_km2 SENTI2
01/10/2016,0,0
08/10/2016,0.012,0
15/10/2016,0,0
22/10/2016,2.746,0
29/10/2016,27.856,0
05/11/2016,1.002,0
12/11/2016,1.359,0
19/11/2016,1.049,0
26/11/2016,328.277,0
03/12/2016,938.41,0
10/12/2016,"1,195.18",0
17/12/2016,"1,618.04",0
24/12/2016,"1,664.21",0
31/12/2016,"1,551.28",0
07/01/2017,"2,173.47",168.845
14/01/2017,"1,210.26",0
21/01/2017,"1,050.72",0
28/01/2017,"2,902.91",0
04/02/2017,"1,775.10",1.033
11/02/2017,"1,256.79",0
18/02/2017,"1,088.37",0
25/02/2017,838.153,0
04/03/2017,678.082,0
11/03/2017,335.152,0
18/03/2017,432.292,0
25/03/2017,291.062,0
01/04/2017,190.568,186.499
08/04/2017,80.571,3.193
15/04/2017,63.09,75.1
22/04/2017,38.507,0
29/04/2017,25.122,38.94
06/05/2017,11.982,18.273
13/05/2017,4.806,5.316
20/05/2017,1.999,13.51
27/05/2017,0.034,0.457
03/06/2017,0,0
10/06/2017,0.17,4.195
17/06/2017,0.07,1.355
24/06/2017,0,0.028
01/07/2017,0,0
08/07/2017,0,0
15/07/2017,0,1.266
22/07/2017,0.006,0
29/07/2017,0,0.829
05/08/2017,0,3.85
12/08/2017,0,0
19/08/2017,0.061,0.01
26/08/2017,0.033,10.021
02/09/2017,0,0
09/09/2017,0.009,0
16/09/2017,0,9.987
23/09/2017,0,10.897
30/09/2017,0.146,0
07/10/2017,18.624,3.113
14/10/2017,1.094,0
21/10/2017,0.006,0
28/10/2017,31.869,31.738
04/11/2017,1.287,10.389
11/11/2017,0.003,1.059
18/11/2017,107.4,0
25/11/2017,183.15,183.313
02/12/2017,487.006,869.742
09/12/2017,653.669,0
16/12/2017,189.057,299.879
23/12/2017,755.977,8.112
30/12/2017,438.713,0
06/01/2018,589.388,400.481
13/01/2018,480.718,818.774
20/01/2018,"1,951.95",386.469
27/01/2018,"1,038.38","1,334.50"
03/02/2018,632.633,0
10/02/2018,378.203,0
17/02/2018,"1,058.74",0.217
24/02/2018,412.78,359.144
03/03/2018,220.246,253.013
10/03/2018,126.503,194.74
17/03/2018,85.12,150.668
24/03/2018,59.123,77.466
31/03/2018,52.73,64.124
07/04/2018,24.4,16.927
14/04/2018,12.493,12.918
21/04/2018,8.019,10.587
28/04/2018,12.278,6.731
05/05/2018,7.661,3.804
12/05/2018,1.243,0.823
19/05/2018,0.048,0
26/05/2018,1.367,1.921
02/06/2018,3.593,1.662
09/06/2018,0.641,0
16/06/2018,0.232,1.345
23/06/2018,0,0
30/06/2018,0,0.623
07/07/2018,0,0.055
14/07/2018,0.066,0.522
21/07/2018,0.057,0
28/07/2018,0.567,0
04/08/2018,0,3.284
11/08/2018,0,2.15
18/08/2018,0,7.024
25/08/2018,0,6.283
01/09/2018,0,7.407
08/09/2018,3.626,21.658
15/09/2018,0.028,8.986
22/09/2018,0,6.025
29/09/2018,0.354,9.332
06/10/2018,8.181,3.23
13/10/2018,1.283,10.325
20/10/2018,7.628,0
27/10/2018,13.677,29.352
03/11/2018,4.188,14.287
10/11/2018,166.768,115.518
17/11/2018,87.36,255.706
24/11/2018,94.011,109.176
01/12/2018,115.378,18.656
08/12/2018,259.292,896.448
15/12/2018,364.508,205.897
22/12/2018,341.768,600.263
29/12/2018,"1,233.21","1,268.18"
05/01/2019,"2,017.96","3,120.81"
12/01/2019,"2,899.33","1,900.16"
19/01/2019,"2,484.45","3,458.84"
26/01/2019,"1,621.00","2,242.70"
02/02/2019,"1,214.00","1,501.99"
09/02/2019,"1,163.46","1,007.73"
16/02/2019,"1,149.81","1,504.69"
23/02/2019,"1,207.67","1,296.56"
02/03/2019,"1,128.60",479.122
09/03/2019,980.912,"1,086.84"
16/03/2019,848.471,"1,150.95"
23/03/2019,325.822,0.146
30/03/2019,561.586,4.821
06/04/2019,360.412,465.846
13/04/2019,270.549,0.577
20/04/2019,723.498,361.464
27/04/2019,218.469,283.229
04/05/2019,124.262,108.198
11/05/2019,74.767,130.732
18/05/2019,34.271,63.982
25/05/2019,18.88,36.056
01/06/2019,11.287,10.031
08/06/2019,4.597,7.626
15/06/2019,0.857,1.666
22/06/2019,0.216,6.18
29/06/2019,0.306,3.012
06/07/2019,0,0
13/07/2019,0.2,4.763
20/07/2019,0,7.1
27/07/2019,0.276,6.648
03/08/2019,0.131,6.635
10/08/2019,0.014,0.008
17/08/2019,0.069,8.423
24/08/2019,0,4.312
31/08/2019,0,9.438
07/09/2019,0.14,13.166
14/09/2019,0.271,0
21/09/2019,0,0.312
28/09/2019,0,10.765
05/10/2019,0.094,10.506
12/10/2019,0.518,0.535
19/10/2019,15.714,0.153
26/10/2019,15.538,244.286
02/11/2019,7.516,240.253
09/11/2019,7.016,0
16/11/2019,21.505,44.344
23/11/2019,27.504,4.117
30/11/2019,113.058,260.014
07/12/2019,377.732,183.234
14/12/2019,213.909,295.602
21/12/2019,259.058,235.331
28/12/2019,610.937,958.383
04/01/2020,"1,483.72","1,726.42"
11/01/2020,"1,522.25","2,207.37"
18/01/2020,"1,742.79","1,788.12"
25/01/2020,"2,078.73","3,083.03"
01/02/2020,"1,327.90","1,475.89"
08/02/2020,437,445.575
15/02/2020,938.884,"1,508.96"
22/02/2020,808.755,826.067
29/02/2020,999.984,"1,557.19"
07/03/2020,614.952,627.361
14/03/2020,391.387,495.606
21/03/2020,568.191,848.709
28/03/2020,143.251,0
04/04/2020,130.203,190.282
11/04/2020,183.86,166.387
18/04/2020,76.59,81.743
25/04/2020,98.457,380.968
02/05/2020,44.478,21.039
09/05/2020,38.308,70.167
16/05/2020,16.507,16.832
23/05/2020,20.607,100.232
30/05/2020,4.562,13.119
06/06/2020,0.766,1.305
13/06/2020,0.011,0.773
20/06/2020,0.005,4.363
27/06/2020,0,0
04/07/2020,0,0
11/07/2020,0,6.025
18/07/2020,0,3.956
25/07/2020,0.085,3.324
01/08/2020,0,5.654
08/08/2020,0.227,4.792
15/08/2020,0,7.971
22/08/2020,0.011,11.166
29/08/2020,0,7.333
05/09/2020,0.018,4.918
12/09/2020,0,4.259
19/09/2020,0.028,11.97
26/09/2020,0.122,5.81
03/10/2020,0.067,0
10/10/2020,0,4.9
17/10/2020,0,8.158
24/10/2020,0.363,7.105
31/10/2020,94.331,41.799
07/11/2020,51.493,46.562
14/11/2020,71.619,143.813
21/11/2020,46.031,99.01
28/11/2020,55.853,5.257
05/12/2020,100.483,147.871
12/12/2020,458.311,30.044
19/12/2020,277.45,233.726
26/12/2020,172.976,251.098
02/01/2021,139.196,188.437
09/01/2021,202.572,587.038
16/01/2021,"2,047.19",484.798
23/01/2021,"1,652.86","1,808.02"
30/01/2021,"1,142.46","1,038.92"
06/02/2021,542.373,729.325
13/02/2021,427.715,575.072
20/02/2021,"1,989.81","2,288.26"
27/02/2021,916.182,296.309
06/03/2021,548.655,667.196
13/03/2021,403.678,388.361
20/03/2021,234.284,250.278
27/03/2021,822.198,389.263
03/04/2021,292.361,0
10/04/2021,417.07,314.601
17/04/2021,70.737,108.682
24/04/2021,35.156,58.151
01/05/2021,16.288,25.767
08/05/2021,7.773,16.185
15/05/2021,2.643,6.401
22/05/2021,0.289,2.996
29/05/2021,0.003,5.766
05/06/2021,0.223,0
12/06/2021,0,0
19/06/2021,0.072,6.129
26/06/2021,0,6.233
03/07/2021,0.024,3.858
10/07/2021,0,2.285
17/07/2021,0.028,5.402
24/07/2021,0.014,3.437
31/07/2021,0.024,5.194
