week_start,snow_km2
2016-10-01,0
2016-10-08,0.012
2016-10-15,0
2016-10-22,2.746
2016-10-29,27.856
2016-11-05,1.002
2016-11-12,1.359
2016-11-19,1.049
2016-11-26,328.277
2016-12-03,938.41
2016-12-10,"1,195.175"
2016-12-17,"1,618.042"
2016-12-24,"1,664.209"
2016-12-31,"1,551.284"
2017-01-07,"2,173.467"
2017-01-14,"1,210.263"
2017-01-21,"1,050.723"
2017-01-28,"2,902.911"
2017-02-04,"1,775.095"
2017-02-11,"1,256.785"
2017-02-18,"1,088.372"
2017-02-25,838.153
2017-03-04,678.082
2017-03-11,335.152
2017-03-18,432.292
2017-03-25,291.062
2017-04-01,190.568
2017-04-08,80.571
2017-04-15,63.09
2017-04-22,38.507
2017-04-29,25.122
2017-05-06,11.982
2017-05-13,4.806
2017-05-20,1.999
2017-05-27,0.034
2017-06-03,0
2017-06-10,0.17
2017-06-17,0.07
2017-06-24,0
2017-07-01,0
2017-07-08,0
2017-07-15,0
2017-07-22,0.006
2017-07-29,0
2017-08-05,0
2017-08-12,0
2017-08-19,0.061
2017-08-26,0.033
2017-09-02,0
2017-09-09,0.009
2017-09-16,0
2017-09-23,0
2017-09-30,0.146
2017-10-07,18.624
2017-10-14,1.094
2017-10-21,0.006
2017-10-28,31.869
2017-11-04,1.287
2017-11-11,0.003
2017-11-18,107.4
2017-11-25,183.15
2017-12-02,487.006
2017-12-09,653.669
2017-12-16,189.057
2017-12-23,755.977
2017-12-30,438.713
2018-01-06,589.388
2018-01-13,480.718
2018-01-20,"1,951.949"
2018-01-27,"1,038.38"
2018-02-03,632.633
2018-02-10,378.203
2018-02-17,"1,058.736"
2018-02-24,412.78
2018-03-03,220.246
2018-03-10,126.503
2018-03-17,85.12
2018-03-24,59.123
2018-03-31,52.73
2018-04-07,24.4
2018-04-14,12.493
2018-04-21,8.019
2018-04-28,12.278
2018-05-05,7.661
2018-05-12,1.243
2018-05-19,0.048
2018-05-26,1.367
2018-06-02,3.593
2018-06-09,0.641
2018-06-16,0.232
2018-06-23,0
2018-06-30,0
2018-07-07,0
2018-07-14,0.066
2018-07-21,0.057
2018-07-28,0.567
2018-08-04,0
2018-08-11,0
2018-08-18,0
2018-08-25,0
2018-09-01,0
2018-09-08,3.626
2018-09-15,0.028
2018-09-22,0
2018-09-29,0.354
2018-10-06,8.181
2018-10-13,1.283
2018-10-20,7.628
2018-10-27,13.677
2018-11-03,4.188
2018-11-10,166.768
2018-11-17,87.36
2018-11-24,94.011
2018-12-01,115.378
2018-12-08,259.292
2018-12-15,364.508
2018-12-22,341.768
2018-12-29,"1,233.209"
2019-01-05,"2,017.96"
2019-01-12,"2,899.327"
2019-01-19,"2,484.452"
2019-01-26,"1,621.003"
2019-02-02,"1,213.998"
2019-02-09,"1,163.462"
2019-02-16,"1,149.805"
2019-02-23,"1,207.669"
2019-03-02,"1,128.599"
2019-03-09,980.912
2019-03-16,848.471
2019-03-23,325.822
2019-03-30,561.586
2019-04-06,360.412
2019-04-13,270.549
2019-04-20,723.498
2019-04-27,218.469
2019-05-04,124.262
2019-05-11,74.767
2019-05-18,34.271
2019-05-25,18.88
2019-06-01,11.287
2019-06-08,4.597
2019-06-15,0.857
2019-06-22,0.216
2019-06-29,0.306
2019-07-06,0
2019-07-13,0.2
2019-07-20,0
2019-07-27,0.276
2019-08-03,0.131
2019-08-10,0.014
2019-08-17,0.069
2019-08-24,0
2019-08-31,0
2019-09-07,0.14
2019-09-14,0.271
2019-09-21,0
2019-09-28,0
2019-10-05,0.094
2019-10-12,0.518
2019-10-19,15.714
2019-10-26,15.538
2019-11-02,7.516
2019-11-09,7.016
2019-11-16,21.505
2019-11-23,27.504
2019-11-30,113.058
2019-12-07,377.732
2019-12-14,213.909
2019-12-21,259.058
2019-12-28,610.937
2020-01-04,"1,483.72"
2020-01-11,"1,522.249"
2020-01-18,"1,742.793"
2020-01-25,"2,078.725"
2020-02-01,"1,327.901"
2020-02-08,437
2020-02-15,938.884
2020-02-22,808.755
2020-02-29,999.984
2020-03-07,614.952
2020-03-14,391.387
2020-03-21,568.191
2020-03-28,143.251
2020-04-04,130.203
2020-04-11,183.86
2020-04-18,76.59
2020-04-25,98.457
2020-05-02,44.478
2020-05-09,38.308
2020-05-16,16.507
2020-05-23,20.607
2020-05-30,4.562
2020-06-06,0.766
2020-06-13,0.011
2020-06-20,0.005
2020-06-27,0
2020-07-04,0
2020-07-11,0
2020-07-18,0
2020-07-25,0.085
2020-08-01,0
2020-08-08,0.227
2020-08-15,0
2020-08-22,0.011
2020-08-29,0
2020-09-05,0.018
2020-09-12,0
2020-09-19,0.028
2020-09-26,0.122
2020-10-03,0.067
2020-10-10,0
2020-10-17,0
2020-10-24,0.363
2020-10-31,94.331
2020-11-07,51.493
2020-11-14,71.619
2020-11-21,46.031
2020-11-28,55.853
2020-12-05,100.483
2020-12-12,458.311
2020-12-19,277.45
2020-12-26,172.976
2021-01-02,139.196
2021-01-09,202.572
2021-01-16,"2,047.188"
2021-01-23,"1,652.863"
2021-01-30,"1,142.462"
2021-02-06,542.373
2021-02-13,427.715
2021-02-20,"1,989.806"
2021-02-27,916.182
2021-03-06,548.655
2021-03-13,403.678
2021-03-20,234.284
2021-03-27,822.198
2021-04-03,292.361
2021-04-10,417.07
2021-04-17,70.737
2021-04-24,35.156
2021-05-01,16.288
2021-05-08,7.773
2021-05-15,2.643
2021-05-22,0.289
2021-05-29,0.003
2021-06-05,0.223
2021-06-12,0
2021-06-19,0.072
2021-06-26,0
2021-07-03,0.024
2021-07-10,0
2021-07-17,0.028
2021-07-24,0.014
2021-07-31,0.024
2021-08-07,0.728
2021-08-14,0
2021-08-21,0
2021-08-28,0
2021-09-04,0
2021-09-11,0.222
2021-09-18,0.176
2021-09-25,0
2021-10-02,0
