week_start,snow_low_km2 MODIS,snow_mid_km2 MODIS,snow_high_km2 MODIS
2016-10-01,0,0,0
2016-10-08,0.012,0,0
2016-10-15,0,0,0
2016-10-22,0.319,2,0.428
2016-10-29,13.756,9.002,5.097
2016-11-05,0.598,0.357,0.047
2016-11-12,0.938,0.204,0.216
2016-11-19,0.953,0.095,0
2016-11-26,150.354,96.933,80.99
2016-12-03,5.855,100.781,831.774
2016-12-10,142.749,337.897,714.53
2016-12-17,109.249,589.757,919.036
2016-12-24,103.019,686.439,874.752
2016-12-31,96.468,621.182,833.634
2017-01-07,377.093,930.202,866.172
2017-01-14,10.659,380.059,819.545
2017-01-21,49.852,264.477,736.394
2017-01-28,665.553,"1,378.341",859.017
2017-02-04,59.795,830.421,884.879
2017-02-11,35.354,422.481,798.951
2017-02-18,2.061,342.412,743.899
2017-02-25,1.397,187.557,649.199
2017-03-04,0.109,107.299,570.674
2017-03-11,45.364,21.233,268.555
2017-03-18,2.302,11.236,418.754
2017-03-25,1.15,6.281,283.631
2017-04-01,1.323,0.761,188.484
2017-04-08,0.425,0.648,79.499
2017-04-15,0.104,0.039,62.946
2017-04-22,0,0.002,38.505
2017-04-29,0.058,0.362,24.702
2017-05-06,0,0,11.982
2017-05-13,0,0,4.806
2017-05-20,0,0.004,1.995
2017-05-27,0,0.003,0.031
2017-06-03,0,0,0
2017-06-10,0.011,0,0.159
2017-06-17,0.07,0,0
2017-06-24,0,0,0
2017-07-01,0,0,0
2017-07-08,0,0,0
2017-07-15,0,0,0
2017-07-22,0,0.006,0
2017-07-29,0,0,0
2017-08-05,0,0,0
2017-08-12,0,0,0
2017-08-19,0.035,0.02,0.006
2017-08-26,0.033,0,0
2017-09-02,0,0,0
2017-09-09,0,0.009,0
2017-09-16,0,0,0
2017-09-23,0,0,0
2017-09-30,0,0.139,0.007
2017-10-07,3.594,4.557,10.474
2017-10-14,0.499,0.4,0.196
2017-10-21,0.006,0,0
2017-10-28,29.805,1.461,0.604
2017-11-04,0.484,0.672,0.131
2017-11-11,0.003,0,0
2017-11-18,27.617,10.177,69.605
2017-11-25,51.129,1.599,130.422
2017-12-02,28.205,160.297,298.505
2017-12-09,1.202,115.219,537.248
2017-12-16,11.271,17.788,159.999
2017-12-23,34.504,236.69,484.784
2017-12-30,262.539,83.373,92.801
2018-01-06,6.132,87.363,495.892
2018-01-13,126.517,42.625,311.576
2018-01-20,102.595,"1,010.415",838.938
2018-01-27,11.737,219.237,807.406
