week_start,snow_km2
2021-05-29,5.766
2021-06-05,0
2021-06-12,0
2021-06-19,6.129
2021-06-26,6.233
2021-07-03,3.858
2021-07-10,2.285
2021-07-17,5.402
2021-07-24,3.437
2021-07-31,5.194
2021-08-07,4.385
2021-08-14,7.412
2021-08-21,6.184
2021-08-28,3.932
2021-09-04,4.712
2021-09-11,10.15
2021-09-18,6.404
2021-09-25,271.961
2021-10-02,5.408
2021-10-09,0.303
2021-10-16,27.876
2021-10-23,8.343
2021-10-30,0
2021-11-06,0.46
2021-11-13,3.208
2021-11-20,244.322
2021-11-27,"1,872.976"
2021-12-04,174.006
2021-12-11,616.991
2021-12-18,"2,564.314"
2021-12-25,"1,314.849"
2022-01-01,404.829
2022-01-08,569.708
2022-01-15,"4,196.935"
2022-01-22,"3,273.676"
2022-01-29,"4,372.973"
2022-02-05,"2,367.585"
2022-02-12,"1,243.322"
2022-02-19,"1,258.583"
2022-02-26,583.989
2022-03-05,41.594
2022-03-12,"3,262.2"
2022-03-19,0
2022-03-26,"2,100.913"
2022-04-02,0
2022-04-09,312.215
2022-04-16,128.576
2022-04-23,58.693
2022-04-30,37.114
2022-05-07,24.839
2022-05-14,6.616
2022-05-21,1.668
2022-05-28,0.928
2022-06-04,0.052
2022-06-11,0
2022-06-18,0
2022-06-25,0
2022-07-02,0
2022-07-09,0
2022-07-16,0
2022-07-23,0
2022-07-30,0
2022-08-06,0
2022-08-13,0
2022-08-20,0
2022-08-27,0
2022-09-03,0
2022-09-10,0
2022-09-17,0
2022-09-24,0
2022-10-01,0
2022-10-08,0
2022-10-15,0
2022-10-22,0
2022-10-29,0
2022-11-05,14.567
2022-11-12,4.945
2022-11-19,0
2022-11-26,102.18
2022-12-03,58.988
2022-12-10,69.97
2022-12-17,0.208
2022-12-24,9.457
2022-12-31,328.054
2023-01-07,433.938
2023-01-14,450.245
2023-01-21,290.1
2023-01-28,39.319
2023-02-04,"3,479.964"
2023-02-11,"2,870.727"
2023-02-18,"2,675.689"
2023-02-25,"1,285.734"
2023-03-04,54.63
2023-03-11,569.878
2023-03-18,118.494
2023-03-25,301.958
2023-04-01,100.418
2023-04-08,46.601
2023-04-15,750.576
2023-04-22,44.732
2023-04-29,22.842
2023-05-06,21.901
2023-05-13,11.044
2023-05-20,3.95
2023-05-27,1.339
2023-06-03,0.069
2023-06-10,0
2023-06-17,0
2023-06-24,0
2023-07-01,0
2023-07-08,0
2023-07-15,0
2023-07-22,0
2023-07-29,0
2023-08-05,0
2023-08-12,0
2023-08-19,0
2023-08-26,0
2023-09-02,0
2023-09-09,0
2023-09-16,0
2023-09-23,0
2023-09-30,0
2023-10-07,0
2023-10-14,0
2023-10-21,0
2023-10-28,0.619
2023-11-04,0
2023-11-11,0.412
2023-11-18,381.21
2023-11-25,175.379
2023-12-02,4.951
2023-12-09,13.764
2023-12-16,0
2023-12-23,485.549
2023-12-30,72.194
2024-01-06,0
2024-01-13,421.166
2024-01-20,"1,032.203"
2024-01-27,4.613
2024-02-03,"1,373.635"
2024-02-10,0.675
2024-02-17,157.521
2024-02-24,760.475
2024-03-02,690.077
2024-03-09,541.449
2024-03-16,57.248
2024-03-23,242.873
2024-03-30,252.741
2024-04-06,0
2024-04-13,88.532
2024-04-20,51.902
2024-04-27,27.614
2024-05-04,23.743
2024-05-11,18.42
2024-05-18,2.824
2024-05-25,0.12
2024-06-01,0
2024-06-08,0
2024-06-15,0
2024-06-22,0
2024-06-29,0
2024-07-06,0
2024-07-13,0
2024-07-20,0
2024-07-27,0
2024-08-03,0
2024-08-10,0
2024-08-17,0
2024-08-24,0
2024-08-31,0
2024-09-07,0
2024-09-14,0
2024-09-21,0
2024-09-28,0
2024-10-05,0
2024-10-12,0
2024-10-19,0
2024-10-26,0
2024-11-02,0.927
2024-11-09,0
2024-11-16,109.633
2024-11-23,42.399
2024-11-30,220.973
2024-12-07,55.829
2024-12-14,55.165
2024-12-21,217.893
2024-12-28,"1,171.446"
2025-01-04,677.217
2025-01-11,437.11
2025-01-18,338.267
2025-01-25,302.147
2025-02-01,0
2025-02-08,"2,504.314"
2025-02-15,"1,523.947"
2025-02-22,"1,506.417"
2025-03-01,3.614
2025-03-08,419.094
2025-03-15,194.798
2025-03-22,805.149
2025-03-29,48.495
2025-04-05,23.886
2025-04-12,27.774
2025-04-19,31.838
2025-04-26,2.26
2025-05-03,0
2025-05-10,0
2025-05-17,0
2025-05-24,0
