week_start,snow_km2
01/10/2016,0
08/10/2016,0
15/10/2016,0
22/10/2016,0
29/10/2016,0
05/11/2016,0
12/11/2016,0
19/11/2016,0
26/11/2016,0
03/12/2016,0
10/12/2016,0
17/12/2016,0
24/12/2016,0
31/12/2016,0
07/01/2017,168.845
14/01/2017,0
21/01/2017,0
28/01/2017,0
04/02/2017,1.033
11/02/2017,0
18/02/2017,0
25/02/2017,0
04/03/2017,0
11/03/2017,0
18/03/2017,0
25/03/2017,0
01/04/2017,186.499
08/04/2017,3.193
15/04/2017,75.1
22/04/2017,0
29/04/2017,38.94
06/05/2017,18.273
13/05/2017,5.316
20/05/2017,13.51
27/05/2017,0.457
03/06/2017,0
10/06/2017,4.195
17/06/2017,1.355
24/06/2017,0.028
01/07/2017,0
08/07/2017,0
15/07/2017,1.266
22/07/2017,0
29/07/2017,0.829
05/08/2017,3.85
12/08/2017,0
19/08/2017,0.01
26/08/2017,10.021
02/09/2017,0
09/09/2017,0
16/09/2017,9.987
23/09/2017,10.897
30/09/2017,0
07/10/2017,3.113
14/10/2017,0
21/10/2017,0
28/10/2017,31.738
04/11/2017,10.389
11/11/2017,1.059
18/11/2017,0
25/11/2017,183.313
02/12/2017,869.742
09/12/2017,0
16/12/2017,299.879
23/12/2017,8.112
30/12/2017,0
06/01/2018,400.481
13/01/2018,818.774
20/01/2018,386.469
27/01/2018,"1,334.50"
03/02/2018,0
10/02/2018,0
17/02/2018,0.217
24/02/2018,359.144
03/03/2018,253.013
10/03/2018,194.74
17/03/2018,150.668
24/03/2018,77.466
31/03/2018,64.124
07/04/2018,16.927
14/04/2018,12.918
21/04/2018,10.587
28/04/2018,6.731
05/05/2018,3.804
12/05/2018,0.823
19/05/2018,0
26/05/2018,1.921
02/06/2018,1.662
09/06/2018,0
16/06/2018,1.345
23/06/2018,0
30/06/2018,0.623
07/07/2018,0.055
14/07/2018,0.522
21/07/2018,0
28/07/2018,0
04/08/2018,3.284
11/08/2018,2.15
18/08/2018,7.024
25/08/2018,6.283
01/09/2018,7.407
08/09/2018,21.658
15/09/2018,8.986
22/09/2018,6.025
29/09/2018,9.332
06/10/2018,3.23
13/10/2018,10.325
20/10/2018,0
27/10/2018,29.352
03/11/2018,14.287
10/11/2018,115.518
17/11/2018,255.706
24/11/2018,109.176
01/12/2018,18.656
08/12/2018,896.448
15/12/2018,205.897
22/12/2018,600.263
29/12/2018,"1,268.18"
05/01/2019,"3,120.81"
12/01/2019,"1,900.16"
19/01/2019,"3,458.84"
26/01/2019,"2,242.70"
02/02/2019,"1,501.99"
09/02/2019,"1,007.73"
16/02/2019,"1,504.69"
23/02/2019,"1,296.56"
02/03/2019,479.122
09/03/2019,"1,086.84"
16/03/2019,"1,150.95"
23/03/2019,0.146
30/03/2019,4.821
06/04/2019,465.846
13/04/2019,0.577
20/04/2019,361.464
27/04/2019,283.229
04/05/2019,108.198
11/05/2019,130.732
18/05/2019,63.982
25/05/2019,36.056
01/06/2019,10.031
08/06/2019,7.626
15/06/2019,1.666
22/06/2019,6.18
29/06/2019,3.012
06/07/2019,0
13/07/2019,4.763
20/07/2019,7.1
27/07/2019,6.648
03/08/2019,6.635
10/08/2019,0.008
17/08/2019,8.423
24/08/2019,4.312
31/08/2019,9.438
07/09/2019,13.166
14/09/2019,0
21/09/2019,0.312
28/09/2019,10.765
05/10/2019,10.506
12/10/2019,0.535
19/10/2019,0.153
26/10/2019,244.286
02/11/2019,240.253
09/11/2019,0
16/11/2019,44.344
23/11/2019,4.117
30/11/2019,260.014
07/12/2019,183.234
14/12/2019,295.602
21/12/2019,235.331
28/12/2019,958.383
04/01/2020,"1,726.42"
11/01/2020,"2,207.37"
18/01/2020,"1,788.12"
25/01/2020,"3,083.03"
01/02/2020,"1,475.89"
08/02/2020,445.575
15/02/2020,"1,508.96"
22/02/2020,826.067
29/02/2020,"1,557.19"
07/03/2020,627.361
14/03/2020,495.606
21/03/2020,848.709
28/03/2020,0
04/04/2020,190.282
11/04/2020,166.387
18/04/2020,81.743
25/04/2020,380.968
02/05/2020,21.039
09/05/2020,70.167
16/05/2020,16.832
23/05/2020,100.232
30/05/2020,13.119
06/06/2020,1.305
13/06/2020,0.773
20/06/2020,4.363
27/06/2020,0
